RB2PBM4KCore.dll fileVersion,2.0.4.0
USE RGB MEASURE LEVEL,FULL DATA
RED
3936,0,0

GREEN
0,3936,0

BLUE
0,0,3936

WHITE
3936,3936,3936
0,0,0
32,32,32
64,60,64
96,92,92
128,124,124
160,152,156
192,184,188
384,368,372
576,556,560
768,740,748
960,924,932
1280,1232,1244
1664,1600,1616
2176,2096,2116
2688,2608,2628
3200,3140,3156
3712,3684,3688


COOL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.277759526938239,0.259526938239159,0.158,0,0,0.158,
1,29,30,30,0.277919252447051,0.261294569494002,0.169745710050687,0,0,0.169388174384929,
2,59,61,62,0.276385552642138,0.264981849016688,0.210092095391279,0,0,0.21032630872955,
3,91,95,96,0.273316358010099,0.257876032985703,0.284419280995917,0,0,0.285679410593389,
4,127,132,134,0.270891146193894,0.258853241069947,0.399083321566636,0,0,0.398428579042804,
5,165,172,174,0.270246638835001,0.263664194266705,0.551602980137296,0,0,0.55081504971949,
6,207,216,218,0.269832743801877,0.264308238308968,0.745983826908967,0,0,0.744660515662466,
7,249,259,262,0.270196887516916,0.265849919153858,0.984610777781701,0,0,0.981511743725014,
8,287,299,302,0.270894001677851,0.269225500688926,1.26313318556457,0,0,1.26271965296298,
9,323,336,340,0.271714263306665,0.272638215741595,1.58719150476115,0,0,1.58948772915252,
10,356,371,375,0.272524846061138,0.276879374792741,1.95877947742265,0,0,1.96290400572343,
11,389,404,409,0.273697276347483,0.280510139588444,2.38312017799894,0,0,2.38396338407494,
12,419,436,441,0.274483094509623,0.284277327017603,2.85164853125258,0.274360103599778,0.284139474497539,2.85358387713275,OK
13,454,468,481,0.274502093274328,0.283536503858791,3.4115760374557,0.274390657579577,0.28399083362585,3.41282632256961,OK
14,487,500,519,0.274484488174032,0.283647988014174,4.02483305196284,0.274421192331038,0.283842286297356,4.0286898356574,OK
15,520,532,557,0.27446007426773,0.283562222047141,4.69874288531463,0.274451707872306,0.283693832423783,4.70243408321052,OK
16,552,565,595,0.274133973907956,0.28371856159077,5.44310909118435,0.274482204221505,0.283545471916967,5.43528312468379,OK
17,585,597,632,0.274244949672632,0.283590643063072,6.23311880057576,0.274512681396734,0.283397204688852,6.22843003848897,OK
18,619,629,669,0.2744827795132,0.283279449986743,7.09122519015706,0.27454313941607,0.283249030651497,7.0830407330697,OK
19,652,660,704,0.274817459842997,0.283162915195942,7.98582242341673,0.274658095135499,0.283400090695748,7.99350271905648,OK
20,683,692,739,0.2746179191163,0.283252932915098,8.95882397604998,0.274773113078945,0.28355123250681,8.96607725562651,OK
21,714,724,772,0.274821184302529,0.283970100055917,9.99964613239781,0.274888193296943,0.283702456151091,10.0017161922695,OK
22,746,754,805,0.275202111291297,0.283871554713814,11.0764675291348,0.275003335840082,0.28385376169507,11.1013523302142,OK
23,776,786,839,0.274964038087274,0.284043357091084,12.2714097898254,0.275118540759008,0.284005149205298,12.265901198947,OK
24,807,816,871,0.275332914351568,0.284177463342725,13.4905823041792,0.275233808104421,0.284156618748397,13.4962626040395,OK
25,835,847,903,0.275085742592559,0.284511542947027,14.7881464204883,0.275151712226877,0.284248912252755,14.7857047131908,OK
26,865,877,936,0.275032375785902,0.284176723854657,16.1527372866128,0.275025486695696,0.284255590234329,16.1413441645638,OK
27,893,907,967,0.27494117381059,0.284388566484008,17.5605613431868,0.274899246837403,0.284262268973881,17.563943830127,OK
28,922,937,999,0.27484047770285,0.28426688910563,19.0546684938164,0.27477299264956,0.28426894847154,19.0542544309988,OK
29,950,967,1030,0.274717395288749,0.284393316431304,20.6030623019496,0.274646724129726,0.284275628727435,20.6130154167646,OK
30,979,997,1062,0.274586908377009,0.284221100660957,22.237618732299,0.27452044127546,0.284282309741695,22.24095575572,OK
31,1008,1027,1093,0.274602188698565,0.28431262553547,23.9348629930959,0.274541259444695,0.284293981932415,23.9246414935018,OK
32,1036,1057,1124,0.274443988285706,0.28436092850059,25.688094501038,0.274562078313024,0.284305654515099,25.6768880624231,OK
33,1153,1176,1247,0.274602684245164,0.284484311155003,33.3707872417605,0.274645360777984,0.284352348765861,33.3830342760544,OK
34,1273,1296,1373,0.274595406340846,0.28405061531127,42.1984395281606,0.274728654431267,0.284399049289616,42.2313872606167,OK
35,1395,1416,1498,0.274827476847608,0.283875288091714,52.0791013367265,0.274755992578717,0.284041633051769,52.0997242709473,OK
36,1515,1538,1625,0.274690873057716,0.283771241100361,63.1343164928511,0.274783290250877,0.283684745983862,63.1111924297907,OK
37,1637,1659,1754,0.274739650153958,0.283366712230499,75.301014644442,0.274810547537568,0.283328386911575,75.2868460741302,OK
38,1755,1782,1883,0.274621560193085,0.283378270595328,88.6923729526995,0.274601958063428,0.283392857011396,88.7115166446223,OK
39,1871,1906,2013,0.27440595258867,0.283459275536439,103.339343992163,0.27439328365611,0.283457353362065,103.360170486122,OK
40,1987,2030,2144,0.274213617181008,0.283480921180626,119.247106114539,0.274184524263727,0.283521875979618,119.253203946498,OK
41,2102,2154,2275,0.273996637630001,0.283542924932435,136.406825847144,0.273975679834354,0.283586424880105,136.410215434293,OK
42,2220,2278,2404,0.27411663219069,0.283867712914366,154.951749145641,0.27414511235858,0.283845580771028,154.921279801337,OK
43,2340,2400,2532,0.274377259004105,0.284078594789708,174.718004610156,0.274314705331621,0.28410498207679,174.751457107099,OK
44,2458,2522,2659,0.274529691180953,0.28436127960363,195.848723432158,0.274484458981497,0.284364629146158,195.920200897733,OK
45,2575,2644,2786,0.274599157568848,0.284610594731747,218.465763718232,0.274654373536659,0.284624522328562,218.446477705443,OK
46,2693,2764,2912,0.274762292943012,0.284740673740356,242.417173177051,0.274763341066699,0.284760698805972,242.392030654051,OK
47,2809,2884,3037,0.274848074192479,0.284917989575462,267.891907402593,0.274872361222143,0.28489694104923,267.740647040997,OK
48,2925,3001,3160,0.275006882820574,0.284967930384877,294.517014752322,0.274981434041123,0.285033249105991,294.510799186392,OK
49,3038,3119,3281,0.275080043053447,0.285227480310469,322.782431739327,0.275090559561808,0.285169623023954,322.720632165283,OK
50,3151,3234,3407,0.27488717420624,0.284785656114601,352.371125278752,0.274847331771173,0.284825929301528,352.395955427732,OK
51,3261,3350,3532,0.274600663695529,0.284501366232233,383.63020197106,0.274604405174319,0.284482661181833,383.547750713505,OK
52,3371,3465,3657,0.274333474444112,0.284136906262592,416.366040356545,0.274361779212132,0.284139817874809,416.193423779764,OK
53,3477,3577,3742,0.27567452729446,0.286626779410198,448.502838301768,0.274119453326879,0.283797398592352,0,
54,3583,3688,3824,0.277133409895971,0.289175500884445,481.76395235286,0.274437027726047,0.284032272190458,0,
55,3689,3800,3898,0.278949667164059,0.292310387907305,516.286717005483,0.274754838966803,0.284267320953302,0,
56,3794,3915,3936,0.282185783967573,0.298004072218919,551.072596743641,0.275072887314195,0.284502545076907,552.032440124202,OK

NEUTRAL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.277759526938239,0.259526938239159,0.158,0,0,0.158,
1,29,30,29,0.278163072349237,0.261668467118243,0.169668640390454,0,0,0.169379503207786,
2,60,62,59,0.278868502175891,0.268907683062088,0.210886928385213,0,0,0.210286466461868,
3,93,96,91,0.278443676657383,0.264875883373293,0.285278287750423,0,0,0.285582193010535,
4,129,133,127,0.27585583149551,0.266252283053163,0.399928655493218,0,0,0.398245512053422,
5,168,173,165,0.27632892377535,0.272239988068874,0.552033262464536,0,0,0.550515952711878,
6,211,217,207,0.276599662004248,0.273491165983484,0.746479961778421,0,0,0.744213820952465,
7,253,260,247,0.278091300241259,0.277061067963959,0.982782781785198,0,0,0.980884705890141,
8,292,300,286,0.279161340379266,0.280613006687232,1.26231475305746,0,0,1.26187849796475,
9,328,337,321,0.280764247761192,0.285528387795021,1.58382514889054,0,0,1.588397766595,
10,363,373,355,0.282384210736333,0.290813259512166,1.9673036408555,0,0,1.96152971676091,
11,395,406,386,0.283867827779629,0.295765377648455,2.38711646842175,0,0,2.38226849232447,
12,424,436,415,0.28483599172197,0.29938677853789,2.82678939857619,0.284897309802223,0.299293981227668,2.85153140721849,OK
13,458,468,452,0.284907482473462,0.299424127365932,3.3747433649521,0.284925294023247,0.299136363251852,3.41037161170381,OK
14,492,500,489,0.284936581583492,0.299208769965063,3.98560203484494,0.284953260150339,0.298978847188063,4.02579215854764,OK
15,526,532,526,0.284914532716583,0.298768272898954,4.65740396828643,0.284981208201045,0.298821432937492,4.69905180853588,OK
16,561,565,563,0.285132528742882,0.298650715141742,5.40905340201302,0.285009138192883,0.298664120401459,5.43137374070587,OK
17,593,597,598,0.284941848497833,0.298679779479497,6.18528299675518,0.285037050143351,0.298506909481409,6.22395017533531,OK
18,626,629,633,0.284962129609073,0.298555661613442,7.02760988963569,0.285064944069925,0.298349800078917,7.07794618227602,OK
19,658,660,666,0.285153667263474,0.298680993997139,7.90464455555214,0.285185972913371,0.298509194891127,7.98775330899993,OK
20,691,692,700,0.285309387917851,0.298709318063278,8.87975854893321,0.28530706906278,0.298668678345193,8.95962831120838,OK
21,723,724,733,0.285419818816649,0.299004059292956,9.92093838719657,0.285428232574313,0.29882825051508,9.99452235376343,OK
22,753,754,764,0.285491909285669,0.299168182127048,10.9696665629386,0.285549463504193,0.298987911474831,11.0933675669668,OK
23,785,786,797,0.285579825202145,0.299288639648397,12.168311251653,0.285670761908705,0.299147661298576,12.2570788218009,OK
24,816,816,828,0.285860264270769,0.299325344894414,13.3764391258299,0.285792127844198,0.299307500060524,13.4865552766426,OK
25,845,847,859,0.285685251786258,0.299595926513467,14.6705733250377,0.285710134405353,0.299405703787565,14.7750699411317,OK
26,874,877,890,0.285495557382744,0.299457948021975,16.007969774143,0.285581061789454,0.299413448689396,16.1297343347148,OK
27,903,907,920,0.285471182554523,0.299589425492426,17.4116964177323,0.285451974121369,0.299421194494421,17.5513107806568,OK
28,933,937,951,0.285414451712349,0.29934986778664,18.9017202467292,0.285322871398464,0.299428941202799,19.0405494601123,OK
29,961,967,981,0.285134332496393,0.299346175763058,20.4357753246028,0.285193753618107,0.299436688814688,20.5981892908097,OK
30,989,997,1010,0.285010927910513,0.299596788876996,22.0321261882804,0.285064620777661,0.299444437330245,22.2249587167268,OK
31,1019,1027,1040,0.285037840330057,0.299531583340685,23.7249750070698,0.285086192084035,0.299456691360709,23.9074334460116,OK
32,1049,1057,1070,0.285036011667431,0.299437040626392,25.4862494133494,0.285107764134671,0.299468945813966,25.6584196933444,OK
