RB2PBM4KCore.dll fileVersion,2.0.4.0
USE RGB MEASURE LEVEL,FULL DATA
RED
3936,0,0

GREEN
0,3936,0

BLUE
0,0,3936

WHITE
3936,3936,3936
0,0,0
32,32,32
64,64,64
96,92,96
128,124,124
160,156,156
192,188,188
384,372,376
576,560,564
768,744,752
960,932,940
1280,1240,1256
1664,1612,1632
2176,2108,2136
2688,2624,2648
3200,3152,3168
3712,3688,3696


COOL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.272598648011319,0.254048105643767,0.1616,0,0,0.1616,
1,27,29,29,0.272605539676023,0.25645851289259,0.17286361488858,0,0,0.173043037790543,
2,54,58,58,0.272193311249907,0.257145874748922,0.214332913062023,0,0,0.21417839474466,
3,85,91,90,0.272188310066393,0.265569063580161,0.28994351789484,0,0,0.289894515969816,
4,119,128,127,0.26829926672488,0.256557985777528,0.404261708457117,0,0,0.403186862206304,
5,155,167,166,0.268997268777442,0.25995446711609,0.556009540097341,0,0,0.556307466420828,
6,193,208,207,0.268488100345448,0.261146613842624,0.749910856709024,0,0,0.751086797798672,
7,232,249,247,0.269347588825934,0.264466310276001,0.989799795261088,0,0,0.989079074861349,
8,268,288,286,0.269512793288357,0.2678629782492,1.26887247850261,0,0,1.27164172482111,
9,303,326,324,0.270025109359442,0.271814885779696,1.59873425510984,0,0,1.59998403133937,
10,337,362,359,0.271482522271055,0.276520958162316,1.97327995772639,0,0,1.97519926953061,
11,369,397,394,0.27240507751434,0.280558629406919,2.40109797505455,0,0,2.39828713380804,
12,400,430,427,0.273729811014842,0.284272663292653,2.86986112760555,0.273864122173795,0.284170629020287,2.87017005969522,OK
13,435,464,468,0.274114208370268,0.284259941139692,3.44319211463687,0.27394006007941,0.28404432234621,3.438293708521,OK
14,467,497,508,0.273781600792764,0.283930571937318,4.06556623068612,0.274015954795739,0.283918087508391,4.06536169403426,OK
15,500,529,546,0.274248776006711,0.283894032630541,4.74563416486551,0.274091806359618,0.283791924445564,4.75290880141161,OK
16,532,562,584,0.27429825887902,0.284107962167048,5.50983982115422,0.274167614807838,0.283665833096532,5.50243896578426,OK
17,564,593,621,0.274446431016586,0.283567650999357,6.31150858668389,0.274243380177153,0.283539813400165,6.31542960241529,OK
18,595,625,657,0.274432967116665,0.283669084845983,7.19596958743064,0.27431910250427,0.283413865295406,7.19333515956812,OK
19,626,657,691,0.274743117345109,0.284338581056527,8.14860416039442,0.27441959350513,0.28359733814934,8.12961159798921,OK
20,656,687,725,0.274614408378036,0.283880926141163,9.12370701339962,0.274520153237719,0.283780936491196,9.13174808134852,OK
21,687,718,758,0.274804010187433,0.284047622101999,10.1951352702346,0.274620781772578,0.283964660449759,10.2009692116068,OK
22,718,750,790,0.27506090011258,0.284768125856577,11.3612742957305,0.274721479180341,0.284148510153993,11.3384836192162,OK
23,748,780,823,0.274754636284763,0.284204739254728,12.54442434845,0.274822245531741,0.284332485733038,12.5454856094993,OK
24,779,811,854,0.275003306013586,0.284682816271815,13.8239120968756,0.274923080897605,0.28451658731621,13.8231565920165,OK
25,809,842,886,0.274802611771874,0.284720637375744,15.1714871489419,0.274826979443836,0.284590082530293,15.1659884526505,OK
26,839,873,918,0.274616938104699,0.284740616353039,16.5915397366839,0.274686768922694,0.284577830951546,16.5806146912766,OK
27,870,904,951,0.274479465092781,0.284470202569372,18.1006712670274,0.274546552023567,0.284565578815493,18.0680996502135,OK
28,899,934,982,0.274399580384759,0.284504782886551,19.6182304040777,0.27440632874602,0.284553326122093,19.6294980860079,OK
29,929,966,1015,0.274239614694588,0.284548880156336,21.3055357666835,0.274266099089617,0.28454107287131,21.2658559656253,OK
30,958,997,1047,0.27414834655236,0.284585802749791,23.0185274637076,0.274125863053924,0.284528819063106,22.9782111793586,OK
31,986,1027,1078,0.274114132568509,0.284614844302275,24.7513796195683,0.27413096604837,0.284522476187416,24.7370497504524,OK
32,1014,1057,1109,0.274127552772453,0.28464489431007,26.5589935017149,0.274136068892635,0.284516133498397,26.5695202784137,OK
33,1128,1178,1235,0.274313212746803,0.284516244314536,34.6315685236233,0.274156478768024,0.284490764608855,34.6508843031118,OK
34,1242,1300,1361,0.274196533326664,0.284545687454718,43.9759283440238,0.274176886241056,0.284465398705375,43.9701541262153,OK
35,1359,1418,1485,0.274166997615514,0.284196079587259,54.2770215850647,0.274191073504398,0.284132560928708,54.2786644436256,OK
36,1481,1536,1610,0.274296002380148,0.283749851356927,65.7752367696663,0.274205241321573,0.283800179365409,65.7916628738498,OK
37,1602,1656,1736,0.274294787698441,0.283504601909678,78.5246965541455,0.274219389732534,0.28346825307814,78.5333262884669,OK
38,1719,1780,1864,0.274044895666672,0.283582789739925,92.6900112678073,0.274050702530465,0.283559050245258,92.6313613159567,OK
39,1834,1904,1993,0.273854183574091,0.283626342964437,108.043162791737,0.273881933060204,0.283649891693855,108.037129500279,OK
40,1949,2030,2125,0.273680454834827,0.28371817020103,124.861627292292,0.273713081261551,0.283740777456334,124.775776993403,OK
41,2063,2155,2257,0.273588340762514,0.283855863334021,142.819980310343,0.273544147074252,0.283831707565127,142.871684677578,OK
42,2182,2281,2390,0.273784076835386,0.284067780248688,162.40836952973,0.27373580125441,0.284095569941508,162.455920311151,OK
43,2300,2407,2521,0.273902455957997,0.284422686646574,183.451810003314,0.273927637596909,0.284359683112254,183.47135254784,OK
44,2421,2530,2650,0.274169001189029,0.284580881597376,205.881892362077,0.274119656361585,0.284624047435095,205.943207843295,OK
45,2539,2653,2776,0.274290758692124,0.284919798465891,229.954841216194,0.274311857808766,0.284888663268443,229.896269294437,OK
46,2657,2773,2901,0.274399611545192,0.285027394683719,255.473920287075,0.274429304996108,0.285072294527274,255.454418319713,OK
47,2773,2892,3023,0.274549486723746,0.285315732733535,282.556444467846,0.274546830988219,0.285256048999095,282.562627435017,OK
48,2888,3010,3145,0.274654985459099,0.285510859621476,311.291058215096,0.274664435864442,0.285439926807958,311.246239251252,OK
49,3003,3126,3266,0.274828861990703,0.285637205718055,341.487739376229,0.274782119704223,0.28562392807808,341.530319268019,OK
50,3113,3242,3392,0.274531507266503,0.285335685566501,373.387535490523,0.274546992531115,0.285261294857213,373.360663869873,OK
51,3224,3356,3519,0.274291991289524,0.284864878209078,406.808088760549,0.274312175674188,0.28489914023248,406.827193108459,OK
52,3333,3470,3645,0.274063552715593,0.284556516365812,441.908330602007,0.274077668519523,0.284537463257044,441.953348911724,OK
53,3437,3579,3733,0.275309050250569,0.286843600320151,476.018786683218,0.273843470454819,0.284176262986563,0,
54,3541,3687,3817,0.276718183989112,0.289320984939458,511.381784144718,0.274207531229207,0.28449529233717,0,
55,3645,3795,3896,0.27835134145494,0.292143614550231,548.087209772028,0.27457197726019,0.284814659291194,0,
56,3749,3906,3936,0.281551649626408,0.297772622466322,585.176530315231,0.274936809159621,0.285134364384807,580.486253407163,OK

NEUTRAL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.272598648011319,0.254048105643767,0.1616,0,0,0.1616,
1,28,30,28,0.273270483237466,0.257514719848234,0.173477913011755,0,0,0.173068736460118,
2,55,58,54,0.275149829814566,0.260942151317898,0.213784534227884,0,0,0.214296474822526,
3,87,92,86,0.275848727998595,0.27083733496098,0.291366555713399,0,0,0.290182638619984,
4,122,129,120,0.275176463098267,0.26551869192467,0.405413206035895,0,0,0.403729415771113,
5,159,168,156,0.276207002735885,0.269534427772905,0.556898251306372,0,0,0.557193896837645,
6,198,210,195,0.276684911753839,0.272511468082592,0.754426252910152,0,0,0.752410661855816,
7,236,250,233,0.277121271015651,0.275467830671682,0.988459121014192,0,0,0.990937419796873,
8,274,290,270,0.27829609410463,0.280243890155209,1.2748212958376,0,0,1.27413464637068,
9,310,328,305,0.27976237942172,0.285451586868619,1.60562354402911,0,0,1.60321434103684,
10,344,364,339,0.281085435346585,0.290115864863197,1.98144802574067,0,0,1.97927223417708,
11,376,398,370,0.28288775758397,0.295236412821949,2.39703651255371,0,0,2.40331026530918,
