u,v
0.186,0.4424
0.1865,0.4426
0.1873,0.443
0.1888,0.4416
0.1863,0.4422
0.186,0.4419
0.1876,0.4426
0.1881,0.4425
0.1865,0.4418
0.1866,0.4416
0.1872,0.4425
0.1879,0.442
0.1876,0.44
0.1882,0.4398
0.1883,0.4391
0.1895,0.4377
0.1871,0.442
0.1874,0.4419
0.1876,0.4417
0.1879,0.4422
0.1871,0.4434
0.1877,0.4426
0.1882,0.4425
0.1902,0.4384
0.1869,0.4421
0.1873,0.4415
0.1876,0.4413
0.1896,0.4409
0.1872,0.442
0.1872,0.4415
0.187,0.4419
0.1893,0.4419
0.1868,0.4434
0.1874,0.4426
0.1885,0.4422
0.1904,0.4386
0.187,0.4435
0.1871,0.4431
0.1888,0.4426
0.1902,0.4388
0.1877,0.4426
0.1872,0.4412
0.1865,0.4419
0.188,0.4414
0.1872,0.4435
0.1874,0.4428
0.1882,0.4425
0.1884,0.4405
0.1861,0.4422
0.1861,0.4426
0.1873,0.4432
0.1882,0.4416
0.1886,0.4423
0.1888,0.4411
0.1887,0.4422
0.1907,0.4389
0.1871,0.4417
0.1873,0.4414
0.1882,0.4406
0.1888,0.4405
0.1875,0.4419
0.1878,0.4419
0.1887,0.4408
0.1887,0.4409
0.1871,0.4411
0.1867,0.4408
0.1875,0.4405
0.1876,0.4402
0.1872,0.4435
0.1879,0.4422
0.1883,0.4416
0.1894,0.4407
0.187,0.4435
0.1878,0.442
0.188,0.4415
0.1888,0.4408
0.186,0.4404
0.1865,0.4406
0.1865,0.4409
0.188,0.4414
0.1876,0.4418
0.1863,0.4407
0.1872,0.4403
0.1877,0.4405
0.186,0.4435
0.1864,0.4432
0.1866,0.4433
0.1876,0.4434
0.1876,0.44
0.1882,0.4398
0.1883,0.4391
0.1895,0.4377
0.1875,0.4402
0.1881,0.4391
0.1884,0.4389
0.1889,0.4388
0.1868,0.4399
0.1867,0.4394
0.1863,0.4393
0.1866,0.4402
0.1863,0.442
0.1862,0.4415
0.1862,0.4422
0.1864,0.4424
0.1872,0.4435
0.1879,0.4422
0.1883,0.4416
0.1894,0.4407
0.1872,0.4435
0.1873,0.4422
0.1883,0.4416
0.188,0.4407
0.1871,0.442
0.1874,0.4419
0.1876,0.4417
0.1879,0.4422
0.1883,0.4368
0.1893,0.4361
0.1897,0.4347
0.1879,0.4328
0.1861,0.442
0.1863,0.4417
0.1865,0.4425
0.1866,0.4426
0.1871,0.4421
0.1873,0.4408
0.1879,0.4391
0.1862,0.4403
0.1878,0.4433
0.1876,0.443
0.1884,0.4426
0.188,0.4407
0.1874,0.4423
0.1875,0.4404
0.1878,0.4394
0.1866,0.4407
0.1845,0.4377
0.1845,0.4361
0.1853,0.4366
0.185,0.4377
0.1877,0.4422
0.1872,0.4425
0.1886,0.4419
0.1887,0.4408
0.1862,0.4418
0.1865,0.442
0.1864,0.4421
0.1865,0.4421
0.1878,0.4414
0.1881,0.4417
0.1877,0.4421
0.1874,0.4415
0.1863,0.4421
0.1862,0.4415
0.1862,0.4422
0.1864,0.4424
0.1888,0.4431
0.1884,0.4427
0.1881,0.4426
0.1883,0.4413
