u,v
0.1877,0.453
0.1885,0.4528
0.1873,0.4535
0.1903,0.4529
0.1872,0.4525
0.1879,0.4521
0.1889,0.4521
0.19,0.4519
0.188,0.4526
0.1883,0.4529
0.1895,0.4436
0.19,0.4459
0.1897,0.4511
0.19,0.45
0.1901,0.4494
0.1916,0.4472
0.188,0.4525
0.1881,0.4521
0.1889,0.4521
0.1901,0.4519
0.1891,0.4537
0.1895,0.453
0.1899,0.4526
0.1918,0.4505
0.1887,0.4527
0.1878,0.4522
0.1893,0.452
0.191,0.4504
0.1882,0.452
0.1872,0.4522
0.1895,0.4523
0.1923,0.4501
0.1889,0.4534
0.1893,0.4533
0.1901,0.4523
0.1913,0.4507
0.1891,0.4535
0.1895,0.4531
0.1903,0.4526
0.191,0.4506
0.1887,0.4524
0.1873,0.4522
0.1885,0.452
0.19,0.4515
0.1894,0.4535
0.1897,0.4527
0.1902,0.453
0.1909,0.4515
0.1877,0.4531
0.1885,0.4528
0.1872,0.4535
0.1901,0.4529
0.1899,0.4519
0.1911,0.4521
0.1922,0.4491
0.1927,0.4477
0.1891,0.4521
0.1893,0.4518
0.19,0.4505
0.1908,0.4516
0.1894,0.4526
0.1898,0.4519
0.192,0.4509
0.191,0.4518
0.1899,0.4528
0.1898,0.4524
0.1922,0.4515
0.1917,0.4512
0.1891,0.4553
0.1898,0.4528
0.1904,0.452
0.1917,0.4522
0.189,0.4552
0.1896,0.4545
0.19,0.452
0.1915,0.4522
0.1887,0.4504
0.1873,0.4502
0.1873,0.4505
0.1903,0.4509
0.1898,0.4527
0.1896,0.4526
0.1921,0.4513
0.1918,0.4511
0.1877,0.4531
0.1882,0.4527
0.1886,0.4526
0.1877,0.4519
0.1897,0.4511
0.19,0.45
0.1901,0.4494
0.1916,0.4472
0.1892,0.4502
0.1901,0.4499
0.19,0.4491
0.1905,0.4496
0.1886,0.4513
0.1881,0.4501
0.1884,0.4504
0.1886,0.4508
0.1889,0.4528
0.1888,0.4526
0.1882,0.4526
0.1877,0.4528
0.1891,0.4553
0.1898,0.4528
0.1904,0.452
0.1917,0.4522
0.1891,0.453
0.189,0.4528
0.1904,0.452
0.1917,0.4522
0.188,0.4525
0.1881,0.4521
0.1889,0.4521
0.1901,0.4519
0.1902,0.4484
0.191,0.4472
0.1912,0.4463
0.1887,0.4452
0.1891,0.4525
0.1887,0.4528
0.188,0.4533
0.1875,0.453
0.1892,0.4521
0.189,0.4514
0.1893,0.4506
0.1882,0.4511
0.1907,0.4545
0.1901,0.4533
0.1903,0.4537
0.1909,0.4516
0.1894,0.4524
0.1891,0.4512
0.1896,0.4504
0.1886,0.451
0.1863,0.4483
0.1863,0.4467
0.1868,0.4479
0.1858,0.4494
0.1904,0.4525
0.1909,0.4513
0.1906,0.4527
0.1911,0.4509
0.1881,0.4528
0.1885,0.4521
0.1884,0.452
0.1886,0.4531
0.1912,0.4522
0.1914,0.4528
0.1908,0.4527
0.1911,0.4523
0.1889,0.4528
0.1888,0.4526
0.1882,0.4526
0.1877,0.4531
0.1908,0.4541
0.1903,0.4538
0.1905,0.4533
0.1903,0.4522
