RB2PBM4KCore.dll fileVersion,2.0.4.0
USE RGB MEASURE LEVEL,FULL DATA
RED
3936,0,0

GREEN
0,3936,0

BLUE
0,0,3936

WHITE
3936,3936,3936
0,0,0
32,32,32
64,60,60
96,92,92
128,124,124
160,152,156
192,184,184
384,368,372
576,552,556
768,736,740
960,920,924
1280,1224,1232
1664,1592,1604
2176,2080,2096
2688,2596,2612
3200,3132,3140
3712,3676,3684


COOL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.275109970674487,0.259897360703812,0.1418,0,0,0.1418,
1,28,29,29,0.275004317044174,0.26273641699252,0.153317263578745,0,0,0.153400484510297,
2,61,63,64,0.273890952765846,0.259563602314577,0.195568000479173,0,0,0.195101829896587,
3,94,97,98,0.272338498492348,0.260555163303249,0.271716663677205,0,0,0.271859742221068,
4,129,134,135,0.270214908362715,0.262553917159377,0.385194607207408,0,0,0.386710897282165,
5,167,173,175,0.267939467060299,0.263330150786932,0.540973016682648,0,0,0.541938314154453,
6,206,214,216,0.265543885451636,0.260443716367069,0.740212545611695,0,0,0.739397647762715,
7,244,253,255,0.266388660418752,0.262476606040883,0.981159055311024,0,0,0.980664501387691,
8,280,290,293,0.26773995271147,0.265887692635175,1.26634902808698,0,0,1.26711497931548,
9,314,326,329,0.269330375894856,0.270797887257327,1.60179615997093,0,0,1.59997500394882,
10,347,360,363,0.271197824483853,0.275816918148819,1.98296386713659,0,0,1.98035289296203,
11,378,392,396,0.272467843541454,0.279940768356327,2.40497133165104,0,0,2.40926209573521,
12,409,424,428,0.27389834449553,0.284297238266267,2.88852863755373,0.274240368263242,0.284167232679606,2.88763773974052,OK
13,444,455,467,0.274333319689806,0.283840310261387,3.45055993136756,0.274276915419373,0.284030158354585,3.45485001619492,OK
14,476,487,505,0.273963056518352,0.283978320124417,4.08266334302773,0.274313441158177,0.283893164357724,4.07981805015367,OK
15,510,518,542,0.274413691174668,0.283662970442518,4.77685926691957,0.274349945498474,0.283756250618432,4.76387817878567,OK
16,541,548,577,0.274385815003694,0.283270404688385,5.50550812728879,0.274386428459062,0.283619417066201,5.50833184958319,OK
17,572,579,611,0.274597444156199,0.283503386729534,6.31598936831408,0.274422890058719,0.283482663630608,6.31445022753696,OK
18,601,610,645,0.274239287049797,0.283405594726496,7.18475577337243,0.2744593303162,0.283345990241309,7.18347798716236,OK
19,632,640,678,0.2746477814511,0.283210130592563,8.11024441395757,0.274570279995858,0.283510980514853,8.11197431978358,OK
20,661,671,710,0.274704620093355,0.283672178136714,9.10834387996567,0.274681296364491,0.28367606995977,9.10468817626285,OK
21,691,701,742,0.274911693508912,0.283654057656834,10.1575474112437,0.274792379482244,0.283841258665502,10.162698475052,OK
22,720,732,774,0.274790472878127,0.283924343214921,11.2911927427795,0.274903529409336,0.284006546721597,11.2870663015949,OK
23,751,762,805,0.275208157818642,0.284182407442721,12.4772258534059,0.275014746206056,0.284171934217713,12.4788366405537,OK
24,781,793,837,0.275076397736298,0.284334388774051,13.754330953107,0.275126029932767,0.284337421243612,13.7390398828113,OK
25,811,823,868,0.275044571109506,0.284423625313317,15.063510870003,0.275037904759612,0.284418186652947,15.0587982438788,OK
26,841,853,899,0.274954626983879,0.284448274897377,16.4378030959482,0.274905654307483,0.28441327158836,16.4472282177951,OK
27,872,883,931,0.274835509667071,0.284117805904625,17.8934559738229,0.27477339458319,0.284408356179175,17.905197347432,OK
28,902,914,962,0.274730247129164,0.284335021473179,19.4363141784101,0.274641125585757,0.284403440425356,19.433561725183,OK
29,931,945,993,0.274484119902352,0.284476331594495,21.0391374237569,0.274508847314209,0.284398524326866,21.0331668545377,OK
30,960,976,1024,0.274289611729972,0.284584232590467,22.7128776090995,0.274376559767572,0.284393607883668,22.7048484235355,OK
31,990,1006,1055,0.274305935707852,0.284432827811075,24.4310773722165,0.274399794678904,0.284396931539209,24.4287566782711,OK
32,1020,1036,1086,0.274363596828732,0.284294524985326,26.2202543078108,0.274423029538046,0.284400255187283,26.223394397251,OK
33,1138,1157,1209,0.274680603029135,0.284412873021353,34.1001864038355,0.274515968452702,0.284413549704925,34.1218844274118,OK
34,1255,1279,1335,0.274625062462006,0.284470990176635,43.1974515070352,0.274608906532313,0.284426844103116,43.2016703006656,OK
35,1374,1398,1462,0.274626928125452,0.284049866320293,53.3147878204337,0.274616391046223,0.284073996113324,53.3116607048066,OK
36,1495,1517,1589,0.274759951143316,0.28373764886354,64.5803091739568,0.274623864721023,0.283721659119793,64.5973434745871,OK
37,1615,1638,1718,0.274590545406074,0.283353895931289,77.1067309295208,0.27463132758024,0.283369832013284,77.0812506048772,OK
38,1732,1761,1845,0.274413647122023,0.283517817561787,90.8503884128587,0.274431593737151,0.28345166417546,90.8378921882212,OK
39,1850,1884,1974,0.274258092243829,0.283455913210519,105.871700614578,0.274231765558073,0.283533534987659,105.851624957785,OK
40,1965,2008,2103,0.273965839899686,0.283633750025575,122.188567445126,0.274031842976158,0.283615444477271,122.143823172324,OK
41,2081,2131,2233,0.273759358610446,0.283719645358012,139.794732301525,0.273831825924493,0.28369739267171,139.735052656282,OK
42,2201,2253,2361,0.273970874723683,0.284025095715999,158.767392776601,0.274001237230444,0.283956672802079,158.758984493809,OK
43,2323,2374,2489,0.274253020781733,0.284210460664264,179.107898145062,0.274170809009528,0.284216198532908,179.149763399132,OK
44,2442,2496,2616,0.274350087258908,0.284510961030996,200.899483884882,0.274340541489862,0.284475970213327,200.9288411999,OK
45,2562,2617,2742,0.274521033544787,0.284717596953306,224.071445912216,0.274510434899997,0.284735988193126,224.117191801424,OK
46,2681,2739,2868,0.27461587848037,0.284938096773545,248.873467695479,0.274628352630597,0.28488967038221,248.820889084737,OK
47,2799,2860,2993,0.274710657832848,0.285112863576353,275.05466342863,0.274746335020769,0.285043436842119,274.992126287161,OK
48,2918,2979,3117,0.274922031786683,0.285197053315568,302.571793920247,0.274864382123712,0.285197287642189,302.652109359592,OK
49,3034,3099,3241,0.275003334154549,0.285365335334149,331.773313168002,0.274982493992682,0.285351222851828,331.821734210574,OK
50,3148,3217,3370,0.274804365410429,0.285010833558396,362.3614854629,0.274754219310238,0.285003790736617,362.399574927754,OK
51,3260,3335,3501,0.274525041040573,0.284609887436166,394.520636404785,0.274526232993306,0.28465679751125,394.50689094327,OK
52,3371,3454,3633,0.274271952565456,0.284330088307564,428.351669309101,0.27429853449582,0.284310242344619,428.162353707187,OK
53,3481,3570,3725,0.275690029171938,0.286780049521392,461.536447943795,0.274071123273089,0.28396412440771,0,
54,3592,3686,3814,0.277221813394219,0.289331272877624,495.814575496825,0.274388793408869,0.284199144309559,0,
55,3703,3804,3895,0.27900155995841,0.292423560481112,531.201192976791,0.274706700542532,0.284434339548064,0,
56,3814,3926,3936,0.28216659712626,0.29811053721713,566.692346094915,0.275024844939396,0.284669710319513,566.031843661027,OK

NEUTRAL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.275109970674487,0.259897360703812,0.1418,0,0,0.1418,
1,28,29,27,0.275631778211683,0.263719596116049,0.153131216174636,0,0,0.153295078816588,
2,62,63,60,0.277103458574526,0.263659084502754,0.195006891064329,0,0,0.194617512508702,
3,95,97,92,0.277377961516353,0.267624251534905,0.269958132118834,0,0,0.27067797801628,
4,131,134,127,0.275838995017159,0.270026328839197,0.383207342433175,0,0,0.384485558935127,
5,170,173,164,0.276496388449304,0.275142258397551,0.536322236882956,0,0,0.538302530102014,
6,210,214,203,0.274367236621249,0.272144812414767,0.734722496096604,0,0,0.733967685370581,
7,248,253,240,0.275069144973586,0.274122578404223,0.973803692093508,0,0,0.973042311588777,
8,285,290,275,0.277348641110655,0.278583237605153,1.25726126527867,0,0,1.25689000932126,
9,320,326,309,0.279462338885092,0.283993041437972,1.59175722175529,0,0,1.58672556184972,
10,353,360,341,0.281486996586835,0.289562476826918,1.96952880207661,0,0,1.96364721632138,
11,385,392,372,0.283328188868841,0.294320223617614,2.39005259227362,0,0,2.38865921359281,
12,416,424,402,0.284944946650432,0.299296507114493,2.86891664074379,0.284775347159092,0.299324022050635,2.86268818427035,OK
13,449,455,439,0.284854205561734,0.299222679011836,3.41725478434756,0.284809724246972,0.299178623985666,3.42499967488171,OK
14,482,487,476,0.284691513667191,0.299352506812913,4.04640964992498,0.284844080636861,0.299033313462955,4.04456790594422,OK
15,515,518,512,0.284753110338146,0.298961394731004,4.72888393287152,0.284878416347446,0.298888090403463,4.72271766850455,OK
16,547,548,546,0.284988624485047,0.298587769212627,5.45404287272115,0.284912731397392,0.298742954728246,5.46073916538396,OK
17,577,579,579,0.284808306413685,0.298745043212834,6.25054900866625,0.284947025805342,0.298597906358456,6.25989257854679,OK
18,608,610,612,0.284886962216741,0.298588958981793,7.12165384477492,0.284981299589915,0.29845294521534,7.12141182836313,OK
19,638,640,643,0.285132533795388,0.298649314248089,8.02818663369945,0.285098536522698,0.298627118413312,8.04188583517949,OK
20,668,671,674,0.285266135895721,0.298970157681683,9.02268631162049,0.285215845854563,0.298801399171071,9.02602251832176,OK
21,697,701,704,0.285276020334388,0.299148364315361,10.0498422729072,0.285333227652595,0.298975787588283,10.0748914742498,OK
22,728,732,735,0.28541636926064,0.299259802185951,11.1865205072066,0.285450681983961,0.299150283764736,11.189544620495,OK
23,759,762,765,0.285642322096496,0.299320833743523,12.3604344177725,0.285568208915915,0.299324887800343,12.3710179129198,OK
24,790,793,795,0.285717816752413,0.299669620589796,13.6278827170672,0.285685808515788,0.299499599795138,13.6203328396994,OK
25,821,823,825,0.285690645012987,0.299593702651086,14.9324085395312,0.285597385098131,0.299585625659314,14.9286883215264,OK
26,850,853,854,0.285422256964045,0.299775226715788,16.2789353198704,0.285461885622064,0.299581121982813,16.3051220847774,OK
27,881,883,884,0.285327610598773,0.299581755536856,17.7143984393175,0.285326376385327,0.299576617981891,17.7504941766443,OK
28,912,914,914,0.285236471856874,0.299640311810496,19.2523614563424,0.285190857386863,0.299572113656512,19.2656532927739,OK
29,942,945,944,0.284993937967993,0.299620558547497,20.8510942314806,0.285055328625619,0.299567609006642,20.8514376313985,OK
30,973,976,974,0.284973191626556,0.299571892349099,22.53318906538,0.284919790100539,0.299563104032246,22.5086756601072,OK
