RB2PBM4KCore.dll fileVersion,2.0.4.0
USE RGB MEASURE LEVEL,FULL DATA
RED
3936,0,0

GREEN
0,3936,0

BLUE
0,0,3936

WHITE
3936,3936,3936
0,0,0
32,32,32
64,60,64
96,92,96
128,124,124
160,156,156
192,184,188
384,368,376
576,556,564
768,740,752
960,924,940
1280,1232,1256
1664,1604,1632
2176,2096,2132
2688,2608,2644
3200,3140,3168
3712,3684,3696


COOL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.276234259444333,0.265440735558665,0.1328,0,0,0.1328,
1,31,33,34,0.275918780582982,0.266661694482268,0.144197970994663,0,0,0.144344995699035,
2,63,67,68,0.27486753084358,0.270355528815517,0.185800740875901,0,0,0.185846870271715,
3,98,104,106,0.270010828248378,0.264553061797283,0.26324257390491,0,0,0.262237625060139,
4,136,145,148,0.26869593790405,0.25852514816118,0.37727868313152,0,0,0.376539410475442,
5,174,185,189,0.267983334173052,0.263213848723169,0.531972443486538,0,0,0.531024325185003,
6,214,227,232,0.268584588937549,0.265853494629802,0.725876807229004,0,0,0.727539147925218,
7,255,271,277,0.26950500007321,0.267868159538022,0.968084153822337,0,0,0.967651945364627,
8,294,312,319,0.270836729388099,0.270520167545694,1.25401416989125,0,0,1.25273223944435,
9,330,350,358,0.271903418203608,0.273787021464114,1.58856648469345,0,0,1.58400008858991,
10,362,384,393,0.272610441257322,0.277200587744486,1.95809690538122,0,0,1.96255850903927,
11,393,417,426,0.273571259510762,0.281235848280619,2.38459542905887,0,0,2.38941610252146,
12,423,449,459,0.27414259573064,0.284314704377204,2.86360014787941,0.274156323562033,0.284264594325892,2.86550352349614,OK
13,457,482,497,0.274540271030571,0.285082211733698,3.44006414464192,0.274208834721303,0.284136742213767,3.43025208603443,OK
14,490,513,536,0.274274072530807,0.283970525003225,4.05375355740468,0.274261316524696,0.284008961576181,4.05298096110764,OK
15,523,545,574,0.274325127998575,0.283839344590599,4.73935908869131,0.274313768996822,0.283881252353214,4.73510584941148,OK
16,555,577,611,0.274292513277928,0.283910672820318,5.47745261567829,0.274366192162264,0.283753614485014,5.47800949048488,OK
17,588,609,648,0.274392688271047,0.283708440545213,6.2816344283888,0.274418586045576,0.283626047911795,6.28304612648229,OK
18,621,641,684,0.274547423127313,0.283644323228692,7.14956321404831,0.274470950671285,0.28349855257384,7.15154517132352,OK
19,653,673,719,0.274528382111983,0.283693094749539,8.08035639407139,0.274571973355243,0.283665946357786,8.07664042227445,OK
20,684,705,753,0.274382037650862,0.283871615732069,9.0775473158656,0.274673058424559,0.283833443513774,9.06584127389364,OK
21,717,735,785,0.275046408341295,0.283922403339323,10.1132282785395,0.27477420593704,0.284001044137589,10.1202379482967,OK
22,746,767,817,0.274771582010918,0.284517619825913,11.2482914473058,0.274875415950562,0.284168748325133,11.2409031244271,OK
23,777,797,849,0.274945587304446,0.284359874034699,12.4264327843741,0.274976688523074,0.284336556172427,12.4288936527319,OK
24,808,828,881,0.275149699899589,0.284509145894211,13.7090520432778,0.275078023712598,0.284504467775609,13.6852520465667,OK
25,837,858,912,0.275149071179519,0.284566384371612,15.0144799081789,0.274983884263904,0.284573682571481,15.006370960534,OK
26,864,889,943,0.274778079578695,0.284848214356397,16.4012911564924,0.274845617006745,0.284557159293491,16.3970691000911,OK
27,894,919,975,0.274822647360194,0.284516880511283,17.8590460016294,0.274707346059755,0.284540635574557,17.8582939761291,OK
28,922,950,1007,0.274505627305173,0.284409328528552,19.3971634223743,0.274569071422788,0.284524111414662,19.3909825362112,OK
29,950,981,1038,0.274373884099501,0.284565044201659,20.9971037475236,0.274430793095695,0.284507586813787,20.9960619920116,OK
30,978,1012,1069,0.274240237429306,0.284687132030215,22.6661012747664,0.274292511078328,0.284491061771915,22.674450561322,OK
31,1008,1043,1101,0.27427328243696,0.284552601588472,24.4367282046467,0.274306185190243,0.284488810058043,24.4017433498224,OK
32,1036,1073,1131,0.274276585250119,0.284667136222981,26.201266105593,0.274319859048655,0.284486558385914,26.2004945543225,OK
33,1153,1193,1256,0.274217581029998,0.284046747193533,34.087192895378,0.274374551947408,0.284477552114821,34.1236611338163,OK
34,1271,1313,1378,0.274566433055806,0.284519145509313,43.1938304800276,0.274429240790668,0.284468546511544,43.2435646863532,OK
35,1389,1430,1503,0.274515330302918,0.284058157881573,53.3732624623508,0.27444877076485,0.284138804214996,53.3568638874824,OK
36,1505,1547,1628,0.274382150427974,0.283844806991259,64.6547180224367,0.274468274143587,0.283809510953506,64.6442549056437,OK
37,1624,1664,1755,0.274538075421885,0.283495341026159,77.1195743628924,0.274487750981168,0.283480665810469,77.1278590181591,OK
38,1738,1785,1883,0.274284186178846,0.28361513201385,90.914028280013,0.274302876858581,0.283559088427249,90.9327316485268,OK
39,1854,1906,2012,0.274224864082613,0.283627856489815,105.96687574739,0.274117919906841,0.283637546179714,106.008539757639,OK
40,1967,2029,2142,0.2738940215586,0.283755039922999,122.384263565972,0.273932880070273,0.283716039091481,122.378305646136,OK
41,2083,2151,2272,0.273804149093364,0.283780963659915,140.099147294587,0.273747757293148,0.283794567186189,140.064271030603,OK
42,2201,2273,2400,0.273936866378685,0.28402081919105,159.199272380471,0.27393213772665,0.284050484160129,159.172895628816,OK
43,2320,2394,2526,0.274177701144313,0.284308812762316,179.59937570445,0.274116688343593,0.284306637345853,179.661660180089,OK
44,2438,2516,2652,0.274298182604073,0.28461378509487,201.578655689531,0.274301409379704,0.284563027070548,201.553052262567,OK
45,2556,2636,2776,0.274511319172497,0.284853100460501,224.822273681094,0.274486301071149,0.284819653662005,224.869093956109,OK
46,2672,2757,2901,0.274571773482893,0.285060667763925,249.768886461055,0.274598202161685,0.2849943200405,249.743405875312,OK
47,2788,2876,3025,0.274736921871278,0.285210420064138,276.090077268087,0.274710174668928,0.285169097893312,276.108208218641,OK
48,2903,2994,3149,0.274885856583009,0.285330477007234,303.92391105393,0.274822218661269,0.285343987327191,303.986226528611,OK
49,3016,3113,3274,0.2749103504982,0.285527704125558,333.605316742681,0.274934334207186,0.285518988449024,333.399891778129,OK
50,3128,3227,3403,0.274727717034449,0.285093008883717,364.208011286245,0.274697045838746,0.2851538657543,364.26976618902,OK
51,3239,3343,3534,0.274472599840052,0.28480245498146,396.804580992798,0.274460072782869,0.284789228240427,396.701774088474,OK
52,3350,3458,3667,0.274206027321445,0.284393696868928,430.753954118614,0.274223414411482,0.284425074940972,430.716406322674,OK
53,3459,3571,3753,0.275845978899423,0.287252749685467,463.87234146299,0.273987070098181,0.284061404892068,0,
54,3568,3685,3835,0.277595284256092,0.290296952660275,498.143174664758,0.274328609085419,0.284342926886136,0,
55,3678,3801,3902,0.279922363389874,0.294300175919284,533.317814404218,0.274670462343899,0.284624707926082,0,
56,3787,3920,3936,0.28336623761481,0.300341845389246,568.579714650164,0.275012630307593,0.284906748369617,567.87455313247,OK

NEUTRAL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.276234259444333,0.265440735558665,0.1328,0,0,0.1328,
1,32,33,32,0.276876082185487,0.267718948295627,0.144168744740513,0,0,0.144240533885769,
2,64,67,65,0.277178780094604,0.273256594663132,0.185520664409896,0,0,0.185366889819481,
3,99,104,101,0.274970113442061,0.271580715579238,0.261645501372767,0,0,0.261066443244995,
4,138,144,139,0.274740509864966,0.265670544543365,0.372838824834268,0,0,0.374333999451792,
5,177,185,179,0.274810192559252,0.272112481807329,0.529016069167616,0,0,0.527421098628675,
6,217,227,219,0.27587911900989,0.275768269601157,0.720851846375272,0,0,0.722157809427384,
7,259,271,262,0.277496548431049,0.278371330900459,0.96210049594903,0,0,0.960098010283584,
8,298,312,302,0.279247416593113,0.281836847449422,1.2451433927769,0,0,1.24259883138451,
9,334,350,338,0.281160761087346,0.286681780518402,1.57482827445075,0,0,1.57086929178255,
10,367,384,371,0.282725823643753,0.291101112705184,1.94192778427213,0,0,1.94600242736753,
11,398,417,403,0.283647617438846,0.295327948466469,2.36477053035266,0,0,2.36899771380483,
12,429,449,434,0.284797711472479,0.299045308399946,2.84132622324121,0.284691464034801,0.299427606030695,2.84077738477557,OK
13,462,482,471,0.284553315460101,0.299513574924174,3.40949006935719,0.284742389347707,0.299291890608083,3.40065278935573,OK
