RB2PBM4KCore.dll fileVersion,2.0.4.0
USE RGB MEASURE LEVEL,FULL DATA
RED
3936,0,0

GREEN
0,3936,0

BLUE
0,0,3936

WHITE
3936,3936,3936
0,0,0
32,32,32
64,60,64
96,92,96
128,124,124
160,152,156
192,184,188
384,368,376
576,548,564
768,732,756
960,916,944
1280,1220,1256
1664,1588,1636
2176,2076,2136
2688,2592,2652
3200,3128,3172
3712,3676,3696


COOL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.275388991132675,0.259662037811611,0.1552,0,0,0.1552,
1,29,30,31,0.275242894855876,0.260572484538933,0.166529572102814,0,0,0.166712312708587,
2,61,63,65,0.27434730680394,0.264026914039691,0.208618471006231,0,0,0.208096698682261,
3,96,99,102,0.271346907056312,0.262760569372531,0.284855785470488,0,0,0.284271197148541,
4,135,139,143,0.270224013664119,0.259738699612657,0.396913934670652,0,0,0.398249403044349,
5,179,184,189,0.269940571253441,0.263929418733295,0.551019042762712,0,0,0.552296982901358,
6,226,232,239,0.270297781766669,0.264864405148638,0.749912842319958,0,0,0.748255487368109,
7,269,276,284,0.27161503795746,0.26797468566373,0.989432495910987,0,0,0.987688544037609,
8,307,316,325,0.272261003312439,0.271554924388002,1.27324348456803,0,0,1.27196179784022,
9,342,352,362,0.27289763109775,0.27508833176507,1.59957780808651,0,0,1.60229185331037,
10,376,386,397,0.273611326352533,0.278469959550787,1.98216151216425,0,0,1.9797786041323,
11,407,418,430,0.273860483910556,0.2814639095439,2.40820612268143,0,0,2.40542779676152,
12,437,449,462,0.274223664375662,0.284180024796938,2.88197488124731,0.274156323562033,0.284264594325892,2.88016745104685,OK
13,470,481,500,0.273933481098996,0.284162072486129,3.44847052363776,0.274208834721303,0.284136742213767,3.44780605784351,OK
14,503,513,538,0.274010531151242,0.284350296262667,4.07807330318786,0.274261316524696,0.284008961576181,4.07372168562281,OK
15,537,544,577,0.27445936787331,0.283797648793642,4.7597642275633,0.274313768996822,0.283881252353214,4.7593372797871,OK
16,569,576,616,0.274518082063102,0.283768705685261,5.50779034716363,0.274366192162264,0.283753614485014,5.50604265590655,OK
17,600,607,655,0.274215090797514,0.282908665299246,6.29856651387567,0.274418586045576,0.283626047911795,6.31519898633432,OK
18,631,640,691,0.274411776063258,0.283702121887312,7.188078426105,0.274470950671285,0.28349855257384,7.18814248813293,OK
19,663,671,726,0.274731673061528,0.283465367373083,8.1182543344388,0.274571973355243,0.283665946357786,8.11797182146283,OK
20,692,703,759,0.274416910320964,0.283824469665877,9.12320050726675,0.274673058424559,0.283833443513774,9.1122348094578,OK
21,723,734,789,0.274976811374705,0.284620552051169,10.1889796319427,0.27477420593704,0.284001044137589,10.1720272533361,OK
22,754,763,820,0.27507161053364,0.284015328518517,11.2888261499683,0.274875415950562,0.284168748325133,11.2984273213682,OK
23,784,794,850,0.275090292773324,0.284463290697503,12.5059851448101,0.274976688523074,0.284336556172427,12.4924972723278,OK
24,814,824,880,0.275075285415795,0.284529852913616,13.7715769592589,0.275078023712598,0.284504467775609,13.755284954528,OK
25,843,853,909,0.275090502956646,0.284642786253594,15.0647639735086,0.274983884263904,0.284573682571481,15.0831645623426,OK
26,873,884,941,0.274793498565066,0.284492359389045,16.5179554810683,0.274845617006745,0.284557159293491,16.4809794604714,OK
27,902,913,971,0.274792474168653,0.284484695170692,17.9551518512089,0.274707346059755,0.284540635574557,17.9496820085981,OK
28,930,942,1003,0.274347261431231,0.283933318079482,19.460856201541,0.274569071422788,0.284524111414662,19.490213949021,OK
29,958,973,1033,0.274362740027228,0.284673089524051,21.0973382949524,0.274430793095695,0.284507586813787,21.1035072383274,OK
30,987,1003,1065,0.274273628572629,0.284581400938997,22.7941072202228,0.274292511078328,0.284491061771915,22.7904847931967,OK
31,1016,1033,1097,0.274237453541057,0.28453416125403,24.5659015250558,0.274306185190243,0.284488810058043,24.5266168297043,OK
32,1045,1061,1128,0.274371801605335,0.284249644166303,26.3207569085607,0.274319859048655,0.284486558385914,26.334572963505,OK
33,1158,1179,1253,0.274380017652792,0.284420152393829,34.3104317186931,0.274374551947408,0.284477552114821,34.2982855551538,OK
34,1272,1296,1377,0.27450201011778,0.284441952032544,43.4964863977955,0.274429240790668,0.284468546511544,43.4648593015562,OK
35,1384,1409,1499,0.27445648723984,0.284030621456149,53.609599531224,0.27444877076485,0.284138804214996,53.6299122993805,OK
36,1498,1523,1622,0.274473157477149,0.283784559872812,65.0085623415888,0.274468274143587,0.283809510953506,64.9750654116273,OK
37,1613,1636,1745,0.274544743905186,0.283531848748164,77.5238726663134,0.274487750981168,0.283480665810469,77.5225531190421,OK
38,1726,1752,1870,0.274226694300321,0.283521051302502,91.4202048395373,0.274302876858581,0.283559088427249,91.3980708037391,OK
39,1841,1868,1995,0.274108692884986,0.283556165464396,106.53570721727,0.274117919906841,0.283637546179714,106.55102785232,OK
40,1955,1986,2121,0.273896659595579,0.283704941715392,123.004687077218,0.273932880070273,0.283716039091481,123.004564379744,OK
41,2069,2105,2248,0.273704229760254,0.283802456718131,140.782269979728,0.273747757293148,0.283794567186189,140.781035922356,OK
42,2188,2224,2374,0.27399685734379,0.283987536787634,159.940227790549,0.27393213772665,0.284050484160129,159.987446994884,OK
43,2304,2345,2500,0.274107147929874,0.284323009674787,180.592252587355,0.274116688343593,0.284306637345853,180.581060748582,OK
44,2420,2465,2625,0.274273544048647,0.284630680529054,202.571307354722,0.274301409379704,0.284563027070548,202.584479839524,OK
45,2537,2584,2750,0.274473273963671,0.284846233055754,226.010770564083,0.274486301071149,0.284819653662005,226.01983904336,OK
