RB2PBM4KCore.dll fileVersion,2.0.4.0
USE RGB MEASURE LEVEL,FULL DATA
RED
3936,0,0

GREEN
0,3936,0

BLUE
0,0,3936

WHITE
3936,3936,3936
0,0,0
32,32,32
64,64,64
96,92,96
128,124,128
160,156,160
192,188,188
384,372,380
576,560,568
768,744,760
960,932,948
1280,1244,1268
1664,1616,1648
2176,2112,2152
2688,2624,2664
3200,3152,3184
3712,3688,3704


COOL
LEVEL,R,G,B,x(calc),y(calc),Y(calc),x(target),y(target),Y(target),STATUS
0,0,0,0,0.274983119513842,0.261478730587441,0.1549,0,0,0.1549,
1,29,31,32,0.274875906651726,0.26328386552707,0.167851584318086,0,0,0.167840665140954,
2,58,61,63,0.273921341390531,0.263087978204545,0.213941800498825,0,0,0.214359683039926,
3,92,97,100,0.272382461081878,0.267969954579892,0.300481478827822,0,0,0.299985282507614,
4,128,134,139,0.270659334768516,0.267239366192036,0.427908034728715,0,0,0.428104960386431,
5,169,178,184,0.269127093333152,0.263706266872888,0.601136815564523,0,0,0.601265488350287,
6,212,223,231,0.269597765408082,0.25891996559183,0.822749970507399,0,0,0.821536901403106,
7,252,265,275,0.26974552517905,0.261543358115602,1.09209080671201,0,0,1.09067682910191,
8,289,304,315,0.270251896205412,0.266708249987334,1.406252502829,0,0,1.41022035429169,
9,325,342,354,0.270960379681737,0.272082447929271,1.78255107436033,0,0,1.78153502772334,
10,359,377,391,0.27180196453239,0.276104531790688,2.20245730652932,0,0,2.20585720878169,
11,391,411,426,0.272792919201592,0.279952762176335,2.67730454639919,0,0,2.68431742861429,
12,423,445,461,0.27395921129474,0.283197281168637,3.2242591250929,0.274254946860258,0.28315378044884,3.21795884808828,OK
13,456,478,500,0.274235798731918,0.28324610727274,3.8429774935033,0.274295428018228,0.283003445352294,3.83757715147268,OK
14,488,510,538,0.274375414281073,0.282904317356492,4.51332746526224,0.274335883094011,0.28285320711731,4.51713867129226,OK
